epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7129,2.92609,3.75502,2.22482,0.83713,0.23158,0.24825,0.08652,2.31928,3.21852,1.77168,0.000327869,0.000327869,0.000327869
2,104.921,2.00279,2.52845,1.65203,0.3877,0.49097,0.43053,0.25331,1.98302,2.33516,1.53453,0.000654656,0.000654656,0.000654656
3,156.187,1.68343,1.94632,1.44389,0.49333,0.57356,0.56294,0.29004,1.8415,1.90549,1.58091,0.000974844,0.000974844,0.000974844
4,208.48,1.46612,1.63872,1.31818,0.54877,0.74022,0.62242,0.38371,1.49734,1.56802,1.29803,0.0009703,0.0009703,0.0009703
5,259.014,1.42392,1.61279,1.28143,0.47976,0.84327,0.59672,0.36393,1.57432,1.64121,1.31236,0.0009604,0.0009604,0.0009604
6,307.687,1.26922,1.47444,1.24493,0.61125,0.71054,0.63975,0.42069,1.25927,1.6204,1.24046,0.0009505,0.0009505,0.0009505
7,356.017,1.23292,1.43295,1.2018,0.63506,0.72826,0.65711,0.49395,0.96641,1.46092,1.07676,0.0009406,0.0009406,0.0009406
8,404.273,1.0995,1.29892,1.14497,0.67317,0.70835,0.65076,0.50966,0.98499,1.43737,1.06589,0.0009307,0.0009307,0.0009307
9,451.83,1.01813,1.26552,1.09506,0.6115,0.78673,0.67099,0.53444,0.83469,1.3799,1.05302,0.0009208,0.0009208,0.0009208
10,499.889,0.97056,1.2245,1.08629,0.67297,0.71755,0.67847,0.54115,0.77824,1.36325,1.04516,0.0009109,0.0009109,0.0009109
11,547.891,0.94671,1.20361,1.06823,0.61898,0.74304,0.6598,0.54132,0.734,1.30337,1.0297,0.000901,0.000901,0.000901
12,595.885,0.86049,1.14269,1.03704,0.62916,0.79651,0.67459,0.54978,0.68168,1.31369,1.00503,0.0008911,0.0008911,0.0008911
13,643.958,0.81159,1.08437,1.00755,0.66481,0.70835,0.67021,0.55096,0.77295,1.34144,1.00969,0.0008812,0.0008812,0.0008812
14,691.391,0.81886,1.11198,1.00625,0.56714,0.8864,0.64248,0.55181,0.66689,1.23373,0.98746,0.0008713,0.0008713,0.0008713
15,739.191,0.77872,1.0578,0.99392,0.65724,0.70851,0.67369,0.57985,0.67108,1.26708,0.97173,0.0008614,0.0008614,0.0008614
