"codigo","nombre","palabras_clave","tipo","elemento","especie"
"OOF-48","cola canbot","","spirit","dark","robot / soda"
"OOF-41","iron golem","","spirit","earth","robot"
"OOF-25","night terminal range","recuit, vanquish, recover","evocation","","stasis"
"OOF-24","hunter of the night","reveal, recuit","spirit","dark","human hunter"
"OOF-23","mind break","","evocation","","stasis"
"OOF-22","hammer and nails","silence, break, ghost","evocation","","stasis"
"OOF-21","excavator","vaquish","spirit","water","vehicle"
"OOF-20","truck","recruit","spirit","earth","vehicle"
"OOF-19","the fortress engineer","break, manifest","spirit","wind","human builder"
"OOF-18","soul recycle","return","evocation","","blast"
"OOF-17","undo the dead","ghost, break","evocation","","stasis"
"OOF-16","biomech evolution","push","evocation","","blast"
"OOF-15","ilios the light biomech","sacrifice, broken, ghost","beyonder","light","biomech"
"OOF-14","anemos the wind biomech","recuit, broken, ghost, silence","spirit","wind","biomech"
"OOF-13","thalassa the water biomech","draw, break","spirit","water","biomech"
"OOF-12","vrachos the earth biomech","assault, inmune","spirit","earth","biomech"
"OOF-11","fotia the fire biomech","","spirit","fire","biomech"
"OOF-10","disrupted assault","break","evocation","","blast"
"OOF-09","mutualy assured break","break","evocation","","blast"
"OOF-08","neko the cat ninja","assault, push","spirit","water","ninja"
"OOF-07","the one and only","","spirit","light","legendary"
"OOF-06","collateral damage","assault, breakthrough, break","evocation","","stasis"
"OOF-05","tribute to the beyond","manifest","evocation","","blast"
"OOF-04","daiti, the grace","breakthrough, unbreakable","spirit","fire","devil"
"OOF-03","vulcano","unbreakable, undying, break","beyonder","fire","Divine"
"OOF-02","curse of life","draw","evocation","","blast"
"OOF-01","HEFEST, THE FLAMEBORN","Recruit","Spirit","Fire","Human Vessel"
"OFF-65","arcane duelist","unbreakable, vanquish","beyonder","wind","dungeon crawler"
"OFF-64","monster hunter","unbreakable, breakthrough, break","beyonder","fire","dungeon crawler"
"OFF-63","blood cleric","unbreakable, manifest, ghost","beyonder","fire","dungeon crawler"
"OFF-62","the priest","return","spirit","earth","dungeon crawler/mage"
"OFF-61","the wizard","break","spirit","wind","dungeon crawler/mage"
"OFF-60","barry, the boastful barbarian","breakthrough, breaks, draw","spirit","fire","dungeon crawler/warrior"
"OFF-59","the fighter","","spirit","earth","dungeon crawler/warrior"
"OFF-58","the scout","assault, draw","spirit","water","dungeon crawler/rogue"
"OFF-57","the assasin","assault, break","spirit","wind","dungeon crawler/rogue"
"OFF-56","inspiring leader","wander, recruit","spirit","light","dungeon crawler"
"OFF-55","magic trick","assault, reveal, draw","evocation","","blast"
"OFF-54","will of the dragon strike","draw, recruit","evocation","","stasis"
"OFF-53","dragon strike - inear","broken","beyonder","water","dragon"
"OFF-52","dragon strike - einar","edge, break, broken, recover","spirit","fire","dragon"
"OFF-51","dragon strike - raine","push, manifest, broken, ghost","spirit","water","human vessel"
"OFF-50","soda fridge","assault, manifest","evocation","","blast"
"OFF-49","blueberry canbot","recruit","spirit","water","robot / soda"
"OFF-47","vanilla canbot","","spirit","light","robot / soda"
"OFF-46","cherry canbot","","spirit","fire","robot / soda"
"OFF-45","stellar erratica","break, push","beyonder","fire","titan"
"OFF-44","temblor","","evocation","","blast"
"OFF-43","kema, teh new sky","","spirit","wind","demigod"
"OFF-42","sona, the sea siren","","spirit","water","mermaid"
"OFF-40","shine entity","","spirit","light","shine"
"OFF-39","shadow","","spirit","dark","shadow"
"OFF-38","soldier of the inmortui legion","assault, break, manifest, broken","evocation","","blast"
"OFF-37","attack of the inmortui legion","assault","evocation","","blast"
"OFF-36","call of the legion","sacrifice, recruit","evocation","","blast"
"OFF-35","dux of the inmortui legion","break, ghost, unbreakable, ghosted","spirit","dark","necromancer / gladiador"
"OFF-34","hordes of the inmortui legion","undying, wanderer","spirit","fire","undead / gladiador"
"OFF-33","familiar tea party","","evocation","","stasis"
"OFF-32","sunfly, the eternal butterfly","undying, broken, manifest","spirit","light","butterfly / familiar"
"OFF-31","moonfly, the eternal moth","undying, broken, manifest","spirit","dark","moth / familiar"
"OFF-30","sugarbon","broken, return","spirit","earth","plushie / familiar"
"OFF-29","jeandora, the original witch","wanderer, recruit, unbreakable","spirit","water","witch"
"OFF-28","superdreadnaught gustav cannon xu-xu","breakthrough, unbreakable","beyonder","light","vehicle"
"OFF-27","asagi, alluring slayer","assault, ghost, push","spirit","dark","human hunter"
"OFF-26","night saber fox-wind","undying, break, ghost, recover","beyonder","dark","undead hunter"
